Arrondissement,Bedrooms,Bathrooms,Average Monthly Rent (€)
3rd arrondissement,5.0,7.0,4762.1
4th arrondissement,1.0,1.0,1072.2
4th arrondissement,1.0,2.0,1222.2
4th arrondissement,1.0,3.0,1372.2
4th arrondissement,1.0,4.0,1522.2
4th arrondissement,1.0,5.0,1672.2
4th arrondissement,1.0,6.0,1822.2
4th arrondissement,1.0,7.0,1972.2
4th arrondissement,2.0,1.0,1787.0
4th arrondissement,2.0,2.0,1937.0
4th arrondissement,2.0,3.0,2087.0
4th arrondissement,2.0,4.0,2237.0
4th arrondissement,2.0,5.0,2387.0
4th arrondissement,2.0,6.0,2537.0
4th arrondissement,2.0,7.0,2687.0
4th arrondissement,3.0,1.0,2501.8
4th arrondissement,3.0,2.0,2651.8
4th arrondissement,3.0,3.0,2801.8
4th arrondissement,3.0,4.0,2951.8
4th arrondissement,3.0,5.0,3101.8
4th arrondissement,3.0,6.0,3251.8
4th arrondissement,3.0,7.0,3401.8
4th arrondissement,4.0,1.0,3216.6
4th arrondissement,4.0,2.0,3366.6
4th arrondissement,4.0,3.0,3516.6
4th arrondissement,4.0,4.0,3666.6
4th arrondissement,4.0,5.0,3816.6
4th arrondissement,4.0,6.0,3966.6
4th arrondissement,4.0,7.0,4116.6
4th arrondissement,5.0,1.0,3931.4
4th arrondissement,5.0,2.0,4081.4
4th arrondissement,5.0,3.0,4231.4
4th arrondissement,5.0,4.0,4381.4
4th arrondissement,5.0,5.0,4531.4
4th arrondissement,5.0,6.0,4681.4
4th arrondissement,5.0,7.0,4831.4
5th arrondissement,1.0,1.0,1002.9
5th arrondissement,1.0,2.0,1152.9
5th arrondissement,1.0,3.0,1302.9
5th arrondissement,1.0,4.0,1452.9
5th arrondissement,1.0,5.0,1602.9
5th arrondissement,1.0,6.0,1752.9
5th arrondissement,1.0,7.0,1902.9
5th arrondissement,2.0,1.0,1671.5
5th arrondissement,2.0,2.0,1821.5
5th arrondissement,2.0,3.0,1971.5
5th arrondissement,2.0,4.0,2121.5
5th arrondissement,2.0,5.0,2271.5
5th arrondissement,2.0,6.0,2421.5
5th arrondissement,2.0,7.0,2571.5
5th arrondissement,3.0,1.0,2340.1
5th arrondissement,3.0,2.0,2490.1
5th arrondissement,3.0,3.0,2640.1
5th arrondissement,3.0,4.0,2790.1
5th arrondissement,3.0,5.0,2940.1
5th arrondissement,3.0,6.0,3090.1
5th arrondissement,3.0,7.0,3240.1
5th arrondissement,4.0,1.0,3008.7
5th arrondissement,4.0,2.0,3158.7
5th arrondissement,4.0,3.0,3308.7
5th arrondissement,4.0,4.0,3458.7
5th arrondissement,4.0,5.0,3608.7
5th arrondissement,4.0,6.0,3758.7
5th arrondissement,4.0,7.0,3908.7
5th arrondissement,5.0,1.0,3677.3
5th arrondissement,5.0,2.0,3827.3
5th arrondissement,5.0,3.0,3977.3
5th arrondissement,5.0,4.0,4127.3
5th arrondissement,5.0,5.0,4277.3
5th arrondissement,5.0,6.0,4427.3
5th arrondissement,5.0,7.0,4577.3
6th arrondissement,1.0,1.0,1111.8
6th arrondissement,1.0,2.0,1261.8
6th arrondissement,1.0,3.0,1411.8
6th arrondissement,1.0,4.0,1561.8
6th arrondissement,1.0,5.0,1711.8
6th arrondissement,1.0,6.0,1861.8
6th arrondissement,1.0,7.0,2011.8
6th arrondissement,2.0,1.0,1853.0
6th arrondissement,2.0,2.0,2003.0
6th arrondissement,2.0,3.0,2153.0
6th arrondissement,2.0,4.0,2303.0
6th arrondissement,2.0,5.0,2453.0
6th arrondissement,2.0,6.0,2603.0
6th arrondissement,2.0,7.0,2753.0
6th arrondissement,3.0,1.0,2594.2
6th arrondissement,3.0,2.0,2744.2
6th arrondissement,3.0,3.0,2894.2
6th arrondissement,3.0,4.0,3044.2
6th arrondissement,3.0,5.0,3194.2
6th arrondissement,3.0,6.0,3344.2
6th arrondissement,3.0,7.0,3494.2
6th arrondissement,4.0,1.0,3335.4
6th arrondissement,4.0,2.0,3485.4
6th arrondissement,4.0,3.0,3635.4
6th arrondissement,4.0,4.0,3785.4
6th arrondissement,4.0,5.0,3935.4
6th arrondissement,4.0,6.0,4085.4
6th arrondissement,4.0,7.0,4235.4
6th arrondissement,5.0,1.0,4076.6
6th arrondissement,5.0,2.0,4226.6
6th arrondissement,5.0,3.0,4376.6
6th arrondissement,5.0,4.0,4526.6
6th arrondissement,5.0,5.0,4676.6
6th arrondissement,5.0,6.0,4826.6
6th arrondissement,5.0,7.0,4976.6
7th arrondissement,1.0,1.0,1084.8
7th arrondissement,1.0,2.0,1234.8
7th arrondissement,1.0,3.0,1384.8
7th arrondissement,1.0,4.0,1534.8
7th arrondissement,1.0,5.0,1684.8
7th arrondissement,1.0,6.0,1834.8
7th arrondissement,1.0,7.0,1984.8
7th arrondissement,2.0,1.0,1808.0
7th arrondissement,2.0,2.0,1958.0
7th arrondissement,2.0,3.0,2108.0
7th arrondissement,2.0,4.0,2258.0
7th arrondissement,2.0,5.0,2408.0
7th arrondissement,2.0,6.0,2558.0
7th arrondissement,2.0,7.0,2708.0
7th arrondissement,3.0,1.0,2531.2
7th arrondissement,3.0,2.0,2681.2
7th arrondissement,3.0,3.0,2831.2
7th arrondissement,3.0,4.0,2981.2
7th arrondissement,3.0,5.0,3131.2
7th arrondissement,3.0,6.0,3281.2
7th arrondissement,3.0,7.0,3431.2
7th arrondissement,4.0,1.0,3254.4
7th arrondissement,4.0,2.0,3404.4
7th arrondissement,4.0,3.0,3554.4
7th arrondissement,4.0,4.0,3704.4
7th arrondissement,4.0,5.0,3854.4
7th arrondissement,4.0,6.0,4004.4
7th arrondissement,4.0,7.0,4154.4
7th arrondissement,5.0,1.0,3977.6
7th arrondissement,5.0,2.0,4127.6
7th arrondissement,5.0,3.0,4277.6
7th arrondissement,5.0,4.0,4427.6
7th arrondissement,5.0,5.0,4577.6
7th arrondissement,5.0,6.0,4727.6
7th arrondissement,5.0,7.0,4877.6
8th arrondissement,1.0,1.0,1029.9
8th arrondissement,1.0,2.0,1179.9
8th arrondissement,1.0,3.0,1329.9
8th arrondissement,1.0,4.0,1479.9
8th arrondissement,1.0,5.0,1629.9
8th arrondissement,1.0,6.0,1779.9
8th arrondissement,1.0,7.0,1929.9
8th arrondissement,2.0,1.0,1716.5
8th arrondissement,2.0,2.0,1866.5
8th arrondissement,2.0,3.0,2016.5
8th arrondissement,2.0,4.0,2166.5
8th arrondissement,2.0,5.0,2316.5
8th arrondissement,2.0,6.0,2466.5
8th arrondissement,2.0,7.0,2616.5
8th arrondissement,3.0,1.0,2403.1
8th arrondissement,3.0,2.0,2553.1
8th arrondissement,3.0,3.0,2703.1
8th arrondissement,3.0,4.0,2853.1
8th arrondissement,3.0,5.0,3003.1
8th arrondissement,3.0,6.0,3153.1
8th arrondissement,3.0,7.0,3303.1
8th arrondissement,4.0,1.0,3089.7
8th arrondissement,4.0,2.0,3239.7
8th arrondissement,4.0,3.0,3389.7
8th arrondissement,4.0,4.0,3539.7
8th arrondissement,4.0,5.0,3689.7
8th arrondissement,4.0,6.0,3839.7
8th arrondissement,4.0,7.0,3989.7
8th arrondissement,5.0,1.0,3776.3
8th arrondissement,5.0,2.0,3926.3
8th arrondissement,5.0,3.0,4076.3
8th arrondissement,5.0,4.0,4226.3
8th arrondissement,5.0,5.0,4376.3
8th arrondissement,5.0,6.0,4526.3
8th arrondissement,5.0,7.0,4676.3
9th arrondissement,1.0,1.0,991.2
9th arrondissement,1.0,2.0,1141.2
9th arrondissement,1.0,3.0,1291.2
9th arrondissement,1.0,4.0,1441.2
9th arrondissement,1.0,5.0,1591.2
9th arrondissement,1.0,6.0,1741.2
9th arrondissement,1.0,7.0,1891.2
9th arrondissement,2.0,1.0,1652.0
9th arrondissement,2.0,2.0,1802.0
9th arrondissement,2.0,3.0,1952.0
9th arrondissement,2.0,4.0,2102.0
9th arrondissement,2.0,5.0,2252.0
9th arrondissement,2.0,6.0,2402.0
9th arrondissement,2.0,7.0,2552.0
9th arrondissement,3.0,1.0,2312.8
9th arrondissement,3.0,2.0,2462.8
9th arrondissement,3.0,3.0,2612.8
9th arrondissement,3.0,4.0,2762.8
9th arrondissement,3.0,5.0,2912.8
9th arrondissement,3.0,6.0,3062.8
9th arrondissement,3.0,7.0,3212.8
9th arrondissement,4.0,1.0,2973.6
9th arrondissement,4.0,2.0,3123.6
9th arrondissement,4.0,3.0,3273.6
9th arrondissement,4.0,4.0,3423.6
9th arrondissement,4.0,5.0,3573.6
9th arrondissement,4.0,6.0,3723.6
9th arrondissement,4.0,7.0,3873.6
9th arrondissement,5.0,1.0,3634.4
9th arrondissement,5.0,2.0,3784.4
9th arrondissement,5.0,3.0,3934.4
9th arrondissement,5.0,4.0,4084.4
9th arrondissement,5.0,5.0,4234.4
9th arrondissement,5.0,6.0,4384.4
9th arrondissement,5.0,7.0,4534.4
10th arrondissement,1.0,1.0,897.0
10th arrondissement,1.0,2.0,1047.0
10th arrondissement,1.0,3.0,1197.0
10th arrondissement,1.0,4.0,1347.0
10th arrondissement,1.0,5.0,1497.0
10th arrondissement,1.0,6.0,1647.0
10th arrondissement,1.0,7.0,1797.0
10th arrondissement,2.0,1.0,1495.0
10th arrondissement,2.0,2.0,1645.0
10th arrondissement,2.0,3.0,1795.0
10th arrondissement,2.0,4.0,1945.0
10th arrondissement,2.0,5.0,2095.0
10th arrondissement,2.0,6.0,2245.0
10th arrondissement,2.0,7.0,2395.0
10th arrondissement,3.0,1.0,2093.0
10th arrondissement,3.0,2.0,2243.0
10th arrondissement,3.0,3.0,2393.0
10th arrondissement,3.0,4.0,2543.0
10th arrondissement,3.0,5.0,2693.0
10th arrondissement,3.0,6.0,2843.0
10th arrondissement,3.0,7.0,2993.0
10th arrondissement,4.0,1.0,2691.0
10th arrondissement,4.0,2.0,2841.0
10th arrondissement,4.0,3.0,2991.0
10th arrondissement,4.0,4.0,3141.0
10th arrondissement,4.0,5.0,3291.0
10th arrondissement,4.0,6.0,3441.0
10th arrondissement,4.0,7.0,3591.0
10th arrondissement,5.0,1.0,3289.0
10th arrondissement,5.0,2.0,3439.0
10th arrondissement,5.0,3.0,3589.0
10th arrondissement,5.0,4.0,3739.0
10th arrondissement,5.0,5.0,3889.0
10th arrondissement,5.0,6.0,4039.0
10th arrondissement,5.0,7.0,4189.0
11th arrondissement,1.0,1.0,932.1
11th arrondissement,1.0,2.0,1082.1
11th arrondissement,1.0,3.0,1232.1
11th arrondissement,1.0,4.0,1382.1
11th arrondissement,1.0,5.0,1532.1
11th arrondissement,1.0,6.0,1682.1
11th arrondissement,1.0,7.0,1832.1
11th arrondissement,2.0,1.0,1553.5
11th arrondissement,2.0,2.0,1703.5
11th arrondissement,2.0,3.0,1853.5
11th arrondissement,2.0,4.0,2003.5
11th arrondissement,2.0,5.0,2153.5
11th arrondissement,2.0,6.0,2303.5
11th arrondissement,2.0,7.0,2453.5
11th arrondissement,3.0,1.0,2174.9
11th arrondissement,3.0,2.0,2324.9
11th arrondissement,3.0,3.0,2474.9
11th arrondissement,3.0,4.0,2624.9
11th arrondissement,3.0,5.0,2774.9
11th arrondissement,3.0,6.0,2924.9
11th arrondissement,3.0,7.0,3074.9
11th arrondissement,4.0,1.0,2796.3
11th arrondissement,4.0,2.0,2946.3
11th arrondissement,4.0,3.0,3096.3
11th arrondissement,4.0,4.0,3246.3
11th arrondissement,4.0,5.0,3396.3
11th arrondissement,4.0,6.0,3546.3
11th arrondissement,4.0,7.0,3696.3
11th arrondissement,5.0,1.0,3417.7
11th arrondissement,5.0,2.0,3567.7
11th arrondissement,5.0,3.0,3717.7
11th arrondissement,5.0,4.0,3867.7
11th arrondissement,5.0,5.0,4017.7
11th arrondissement,5.0,6.0,4167.7
11th arrondissement,5.0,7.0,4317.7
12th arrondissement,1.0,1.0,873.0
12th arrondissement,1.0,2.0,1023.0
12th arrondissement,1.0,3.0,1173.0
12th arrondissement,1.0,4.0,1323.0
12th arrondissement,1.0,5.0,1473.0
12th arrondissement,1.0,6.0,1623.0
12th arrondissement,1.0,7.0,1773.0
12th arrondissement,2.0,1.0,1455.0
12th arrondissement,2.0,2.0,1605.0
12th arrondissement,2.0,3.0,1755.0
12th arrondissement,2.0,4.0,1905.0
12th arrondissement,2.0,5.0,2055.0
12th arrondissement,2.0,6.0,2205.0
12th arrondissement,2.0,7.0,2355.0
12th arrondissement,3.0,1.0,2037.0
12th arrondissement,3.0,2.0,2187.0
12th arrondissement,3.0,3.0,2337.0
12th arrondissement,3.0,4.0,2487.0
12th arrondissement,3.0,5.0,2637.0
12th arrondissement,3.0,6.0,2787.0
12th arrondissement,3.0,7.0,2937.0
12th arrondissement,4.0,1.0,2619.0
12th arrondissement,4.0,2.0,2769.0
12th arrondissement,4.0,3.0,2919.0
12th arrondissement,4.0,4.0,3069.0
12th arrondissement,4.0,5.0,3219.0
12th arrondissement,4.0,6.0,3369.0
12th arrondissement,4.0,7.0,3519.0
12th arrondissement,5.0,1.0,3201.0
12th arrondissement,5.0,2.0,3351.0
12th arrondissement,5.0,3.0,3501.0
12th arrondissement,5.0,4.0,3651.0
12th arrondissement,5.0,5.0,3801.0
12th arrondissement,5.0,6.0,3951.0
12th arrondissement,5.0,7.0,4101.0
13th arrondissement,1.0,1.0,889.2
13th arrondissement,1.0,2.0,1039.2
13th arrondissement,1.0,3.0,1189.2
13th arrondissement,1.0,4.0,1339.2
13th arrondissement,1.0,5.0,1489.2
13th arrondissement,1.0,6.0,1639.2
13th arrondissement,1.0,7.0,1789.2
13th arrondissement,2.0,1.0,1482.0
13th arrondissement,2.0,2.0,1632.0
13th arrondissement,2.0,3.0,1782.0
13th arrondissement,2.0,4.0,1932.0
13th arrondissement,2.0,5.0,2082.0
13th arrondissement,2.0,6.0,2232.0
13th arrondissement,2.0,7.0,2382.0
13th arrondissement,3.0,1.0,2074.8
13th arrondissement,3.0,2.0,2224.8
13th arrondissement,3.0,3.0,2374.8
13th arrondissement,3.0,4.0,2524.8
13th arrondissement,3.0,5.0,2674.8
13th arrondissement,3.0,6.0,2824.8
13th arrondissement,3.0,7.0,2974.8
13th arrondissement,4.0,1.0,2667.6
13th arrondissement,4.0,2.0,2817.6
13th arrondissement,4.0,3.0,2967.6
13th arrondissement,4.0,4.0,3117.6
13th arrondissement,4.0,5.0,3267.6
13th arrondissement,4.0,6.0,3417.6
13th arrondissement,4.0,7.0,3567.6
13th arrondissement,5.0,1.0,3260.4
13th arrondissement,5.0,2.0,3410.4
13th arrondissement,5.0,3.0,3560.4
13th arrondissement,5.0,4.0,3710.4
13th arrondissement,5.0,5.0,3860.4
13th arrondissement,5.0,6.0,4010.4
13th arrondissement,5.0,7.0,4160.4
14th arrondissement,1.0,1.0,907.2
14th arrondissement,1.0,2.0,1057.2
14th arrondissement,1.0,3.0,1207.2
14th arrondissement,1.0,4.0,1357.2
14th arrondissement,1.0,5.0,1507.2
14th arrondissement,1.0,6.0,1657.2
14th arrondissement,1.0,7.0,1807.2
14th arrondissement,2.0,1.0,1512.0
14th arrondissement,2.0,2.0,1662.0
14th arrondissement,2.0,3.0,1812.0
14th arrondissement,2.0,4.0,1962.0
14th arrondissement,2.0,5.0,2112.0
14th arrondissement,2.0,6.0,2262.0
14th arrondissement,2.0,7.0,2412.0
14th arrondissement,3.0,1.0,2116.8
14th arrondissement,3.0,2.0,2266.8
14th arrondissement,3.0,3.0,2416.8
14th arrondissement,3.0,4.0,2566.8
14th arrondissement,3.0,5.0,2716.8
14th arrondissement,3.0,6.0,2866.8
14th arrondissement,3.0,7.0,3016.8
14th arrondissement,4.0,1.0,2721.6
14th arrondissement,4.0,2.0,2871.6
14th arrondissement,4.0,3.0,3021.6
14th arrondissement,4.0,4.0,3171.6
14th arrondissement,4.0,5.0,3321.6
14th arrondissement,4.0,6.0,3471.6
14th arrondissement,4.0,7.0,3621.6
14th arrondissement,5.0,1.0,3326.4
14th arrondissement,5.0,2.0,3476.4
14th arrondissement,5.0,3.0,3626.4
14th arrondissement,5.0,4.0,3776.4
14th arrondissement,5.0,5.0,3926.4
14th arrondissement,5.0,6.0,4076.4
14th arrondissement,5.0,7.0,4226.4
15th arrondissement,1.0,1.0,909.0
15th arrondissement,1.0,2.0,1059.0
15th arrondissement,1.0,3.0,1209.0
15th arrondissement,1.0,4.0,1359.0
15th arrondissement,1.0,5.0,1509.0
15th arrondissement,1.0,6.0,1659.0
15th arrondissement,1.0,7.0,1809.0
15th arrondissement,2.0,1.0,1515.0
15th arrondissement,2.0,2.0,1665.0
15th arrondissement,2.0,3.0,1815.0
15th arrondissement,2.0,4.0,1965.0
15th arrondissement,2.0,5.0,2115.0
15th arrondissement,2.0,6.0,2265.0
15th arrondissement,2.0,7.0,2415.0
15th arrondissement,3.0,1.0,2121.0
15th arrondissement,3.0,2.0,2271.0
15th arrondissement,3.0,3.0,2421.0
15th arrondissement,3.0,4.0,2571.0
15th arrondissement,3.0,5.0,2721.0
15th arrondissement,3.0,6.0,2871.0
15th arrondissement,3.0,7.0,3021.0
15th arrondissement,4.0,1.0,2727.0
15th arrondissement,4.0,2.0,2877.0
15th arrondissement,4.0,3.0,3027.0
15th arrondissement,4.0,4.0,3177.0
15th arrondissement,4.0,5.0,3327.0
15th arrondissement,4.0,6.0,3477.0
15th arrondissement,4.0,7.0,3627.0
15th arrondissement,5.0,1.0,3333.0
15th arrondissement,5.0,2.0,3483.0
15th arrondissement,5.0,3.0,3633.0
15th arrondissement,5.0,4.0,3783.0
15th arrondissement,5.0,5.0,3933.0
15th arrondissement,5.0,6.0,4083.0
15th arrondissement,5.0,7.0,4233.0
16th arrondissement,1.0,1.0,965.1
16th arrondissement,1.0,2.0,1115.1
16th arrondissement,1.0,3.0,1265.1
16th arrondissement,1.0,4.0,1415.1
16th arrondissement,1.0,5.0,1565.1
16th arrondissement,1.0,6.0,1715.1
16th arrondissement,1.0,7.0,1865.1
16th arrondissement,2.0,1.0,1608.5
16th arrondissement,2.0,2.0,1758.5
16th arrondissement,2.0,3.0,1908.5
16th arrondissement,2.0,4.0,2058.5
16th arrondissement,2.0,5.0,2208.5
16th arrondissement,2.0,6.0,2358.5
16th arrondissement,2.0,7.0,2508.5
16th arrondissement,3.0,1.0,2251.9
16th arrondissement,3.0,2.0,2401.9
16th arrondissement,3.0,3.0,2551.9
16th arrondissement,3.0,4.0,2701.9
16th arrondissement,3.0,5.0,2851.9
16th arrondissement,3.0,6.0,3001.9
16th arrondissement,3.0,7.0,3151.9
16th arrondissement,4.0,1.0,2895.3
16th arrondissement,4.0,2.0,3045.3
16th arrondissement,4.0,3.0,3195.3
16th arrondissement,4.0,4.0,3345.3
16th arrondissement,4.0,5.0,3495.3
16th arrondissement,4.0,6.0,3645.3
16th arrondissement,4.0,7.0,3795.3
16th arrondissement,5.0,1.0,3538.7
16th arrondissement,5.0,2.0,3688.7
16th arrondissement,5.0,3.0,3838.7
16th arrondissement,5.0,4.0,3988.7
16th arrondissement,5.0,5.0,4138.7
16th arrondissement,5.0,6.0,4288.7
16th arrondissement,5.0,7.0,4438.7
17th arrondissement,1.0,1.0,936.6
17th arrondissement,1.0,2.0,1086.6
17th arrondissement,1.0,3.0,1236.6
17th arrondissement,1.0,4.0,1386.6
17th arrondissement,1.0,5.0,1536.6
17th arrondissement,1.0,6.0,1686.6
17th arrondissement,1.0,7.0,1836.6
17th arrondissement,2.0,1.0,1561.0
17th arrondissement,2.0,2.0,1711.0
17th arrondissement,2.0,3.0,1861.0
17th arrondissement,2.0,4.0,2011.0
17th arrondissement,2.0,5.0,2161.0
17th arrondissement,2.0,6.0,2311.0
17th arrondissement,2.0,7.0,2461.0
17th arrondissement,3.0,1.0,2185.4
17th arrondissement,3.0,2.0,2335.4
17th arrondissement,3.0,3.0,2485.4
17th arrondissement,3.0,4.0,2635.4
17th arrondissement,3.0,5.0,2785.4
17th arrondissement,3.0,6.0,2935.4
17th arrondissement,3.0,7.0,3085.4
17th arrondissement,4.0,1.0,2809.8
17th arrondissement,4.0,2.0,2959.8
17th arrondissement,4.0,3.0,3109.8
17th arrondissement,4.0,4.0,3259.8
17th arrondissement,4.0,5.0,3409.8
17th arrondissement,4.0,6.0,3559.8
17th arrondissement,4.0,7.0,3709.8
17th arrondissement,5.0,1.0,3434.2
17th arrondissement,5.0,2.0,3584.2
17th arrondissement,5.0,3.0,3734.2
17th arrondissement,5.0,4.0,3884.2
17th arrondissement,5.0,5.0,4034.2
17th arrondissement,5.0,6.0,4184.2
17th arrondissement,5.0,7.0,4334.2
18th arrondissement,1.0,1.0,884.1
18th arrondissement,1.0,2.0,1034.1
18th arrondissement,1.0,3.0,1184.1
18th arrondissement,1.0,4.0,1334.1
18th arrondissement,1.0,5.0,1484.1
18th arrondissement,1.0,6.0,1634.1
18th arrondissement,1.0,7.0,1784.1
18th arrondissement,2.0,1.0,1473.5
18th arrondissement,2.0,2.0,1623.5
18th arrondissement,2.0,3.0,1773.5
18th arrondissement,2.0,4.0,1923.5
18th arrondissement,2.0,5.0,2073.5
18th arrondissement,2.0,6.0,2223.5
18th arrondissement,2.0,7.0,2373.5
18th arrondissement,3.0,1.0,2062.9
18th arrondissement,3.0,2.0,2212.9
18th arrondissement,3.0,3.0,2362.9
18th arrondissement,3.0,4.0,2512.9
18th arrondissement,3.0,5.0,2662.9
18th arrondissement,3.0,6.0,2812.9
18th arrondissement,3.0,7.0,2962.9
18th arrondissement,4.0,1.0,2652.3
18th arrondissement,4.0,2.0,2802.3
18th arrondissement,4.0,3.0,2952.3
18th arrondissement,4.0,4.0,3102.3
18th arrondissement,4.0,5.0,3252.3
18th arrondissement,4.0,6.0,3402.3
18th arrondissement,4.0,7.0,3552.3
18th arrondissement,5.0,1.0,3241.7
18th arrondissement,5.0,2.0,3391.7
18th arrondissement,5.0,3.0,3541.7
18th arrondissement,5.0,4.0,3691.7
18th arrondissement,5.0,5.0,3841.7
18th arrondissement,5.0,6.0,3991.7
18th arrondissement,5.0,7.0,4141.7
19th arrondissement,1.0,1.0,855.9
19th arrondissement,1.0,2.0,1005.9
19th arrondissement,1.0,3.0,1155.9
19th arrondissement,1.0,4.0,1305.9
19th arrondissement,1.0,5.0,1455.9
19th arrondissement,1.0,6.0,1605.9
19th arrondissement,1.0,7.0,1755.9
19th arrondissement,2.0,1.0,1426.5
19th arrondissement,2.0,2.0,1576.5
19th arrondissement,2.0,3.0,1726.5
19th arrondissement,2.0,4.0,1876.5
19th arrondissement,2.0,5.0,2026.5
19th arrondissement,2.0,6.0,2176.5
19th arrondissement,2.0,7.0,2326.5
19th arrondissement,3.0,1.0,1997.1
19th arrondissement,3.0,2.0,2147.1
19th arrondissement,3.0,3.0,2297.1
19th arrondissement,3.0,4.0,2447.1
19th arrondissement,3.0,5.0,2597.1
19th arrondissement,3.0,6.0,2747.1
19th arrondissement,3.0,7.0,2897.1
19th arrondissement,4.0,1.0,2567.7
19th arrondissement,4.0,2.0,2717.7
19th arrondissement,4.0,3.0,2867.7
19th arrondissement,4.0,4.0,3017.7
19th arrondissement,4.0,5.0,3167.7
19th arrondissement,4.0,6.0,3317.7
19th arrondissement,4.0,7.0,3467.7
19th arrondissement,5.0,1.0,3138.3
19th arrondissement,5.0,2.0,3288.3
